Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
2026-02-06T19:07:17.250304,multipleTargets,1,60,True,100.0,100.0,0,1100,318,"(221.30,287.28);(246.86,262.85);(235.18,134.97);(221.13,402.01);(80.64,409.83);(52.06,407.35)"
2026-02-06T19:07:28.176571,multipleTargets,2,140,True,100.0,100.0,0,994,327,"(190.46,175.50);(258.02,198.02);(284.93,46.17);(93.37,52.94);(45.68,145.17);(99.26,262.21);(54.06,317.15);(287.27,383.12)"
2026-02-06T19:07:39.660127,multipleTargets,3,220,True,100.0,100.0,0,1359,675,"(87.99,79.36);(189.41,110.57);(139.65,248.64);(37.06,349.37);(78.27,452.60);(176.60,495.07);(289.90,469.31);(251.78,210.49)"
2026-02-06T19:08:01.861972,multipleTargets,4,310,True,83.33,100.0,2,2032,1793,"(95.28,56.20);(263.36,257.37);(202.35,316.51);(208.18,534.53);(132.74,483.70);(50.76,392.69);(71.50,425.08);(151.84,260.06);(95.73,569.71);(208.48,506.26)"
2026-02-06T19:08:17.623508,multipleTargets,5,400,True,100.0,100.0,0,1171,996,"(183.82,289.82);(257.25,269.01);(319.56,366.84);(199.48,43.76);(95.65,57.10);(255.22,294.87);(301.26,254.17);(47.02,555.40);(86.04,178.56)"
2026-02-06T19:08:32.871252,multipleTargets,6,500,True,100.0,100.0,0,1180,998,"(116.85,98.45);(123.97,177.87);(189.28,126.14);(158.24,174.39);(124.45,183.17);(177.93,569.58);(92.63,475.87);(114.64,402.88);(79.92,530.84);(324.51,293.91)"
2026-02-06T19:08:52.869865,multipleTargets,7,620,True,100.0,100.0,0,1300,1238,"(173.43,152.49);(191.97,13.55);(205.09,12.77);(221.92,58.61);(10.52,184.97);(17.85,326.17);(42.48,291.77);(24.95,556.35);(124.88,574.84);(76.80,603.19);(269.40,563.87);(226.65,514.75)"
2026-02-06T19:09:18.043727,multipleTargets,8,715,True,90.91,100.0,1,1600,1978,"(135.06,189.05);(137.05,170.60);(279.10,20.68);(41.96,274.11);(147.93,340.75);(298.75,620.10);(222.55,109.39);(73.15,59.87);(186.61,206.80);(180.09,517.02)"
2026-02-06T19:09:34.113231,multipleTargets,9,835,True,100.0,100.0,0,1915,822,"(146.67,132.54);(172.02,303.79);(157.76,247.33);(312.66,78.36);(87.86,323.15);(3.05,477.25);(200.69,189.61);(222.67,393.39);(254.54,392.99);(264.54,419.65);(223.06,387.24);(168.16,521.69)"
2026-02-06T19:10:03.368054,multipleTargets,10,950,False,93.33,85.71,1,2971,1786,"(119.52,111.46);(123.61,166.72);(65.12,624.49);(238.66,465.76);(103.71,370.14);(26.12,402.43);(170.20,404.22);(176.70,253.38);(170.86,180.23);(95.54,157.13);(133.40,544.19);(73.23,152.52)"
2026-02-06T19:10:35.027512,multipleTargets,10,115,False,82.35,92.86,3,1588,1630,"(168.84,25.43);(191.67,2.47);(222.47,205.17);(177.10,200.73);(182.62,398.11);(59.20,371.57);(131.12,351.28);(305.36,485.33);(293.45,436.12);(256.45,363.57);(300.51,228.65);(308.99,202.13);(275.86,246.55)"
2026-02-06T19:11:02.430644,multipleTargets,10,130,True,87.5,100.0,2,1166,1609,"(178.86,176.87);(148.85,196.82);(89.16,401.84);(42.65,494.33);(308.29,501.46);(132.26,394.59);(85.54,234.89);(179.15,68.86);(324.71,47.82);(178.77,72.02);(176.89,98.64);(185.89,315.21);(96.91,307.50);(157.88,33.19)"
2026-02-06T19:11:27.230695,multipleTargets,11,270,True,100.0,100.0,0,1334,1444,"(132.55,11.83);(86.43,113.03);(321.47,10.40);(157.00,65.26);(259.90,165.05);(309.93,162.72);(251.45,87.80);(85.82,159.50);(100.19,603.64);(150.05,557.80);(10.22,484.70);(44.11,518.48);(111.20,187.74);(127.33,68.08)"
2026-02-06T19:12:01.302988,multipleTargets,12,405,True,83.33,100.0,3,1280,1895,"(181.67,98.26);(263.64,204.07);(276.64,403.89);(207.16,547.76);(135.36,513.40);(236.74,495.42);(261.11,584.90);(151.14,549.14);(32.00,607.47);(43.11,66.24);(223.33,233.12);(56.54,283.61);(143.56,456.73);(140.57,419.26);(218.70,248.05)"
2026-02-06T19:12:26.588649,multipleTargets,11,540,True,93.33,100.0,1,1438,1353,"(179.54,11.94);(135.25,32.56);(264.09,220.97);(297.93,221.41);(280.92,321.43);(280.92,557.71);(105.98,542.80);(65.91,483.54);(242.69,541.36);(249.33,625.26);(85.38,97.12);(102.24,102.02);(284.55,352.57);(293.14,295.82)"
2026-02-06T19:12:52.404750,multipleTargets,12,690,True,100.0,100.0,0,1314,1524,"(105.30,172.91);(79.43,131.63);(233.41,77.07);(175.01,222.23);(158.39,136.47);(71.97,219.72);(227.05,318.38);(270.46,338.26);(208.93,500.21);(126.66,496.57);(258.40,461.00);(324.57,418.52);(113.16,576.02);(185.75,444.44);(318.30,468.58)"
2026-02-06T19:13:16.877455,multipleTargets,13,805,True,73.68,100.0,5,1128,1461,"(200.36,175.44);(122.92,25.39);(6.68,122.19);(75.46,154.75);(157.06,3.67);(59.33,546.65);(10.75,361.79);(48.14,372.97);(88.15,528.89);(171.80,248.46);(290.33,118.42);(142.55,284.82);(284.61,369.14);(110.91,503.85)"
2026-02-06T19:13:39.786485,multipleTargets,12,955,True,100.0,100.0,0,1181,1228,"(207.39,182.87);(192.85,110.69);(286.25,200.97);(180.81,105.50);(175.59,28.32);(130.62,9.17);(33.87,36.00);(191.70,554.74);(157.63,517.59);(309.74,376.17);(182.38,358.12);(273.76,341.02);(290.76,427.94);(233.66,563.71);(290.01,86.70)"
2026-02-06T19:14:07.133614,multipleTargets,13,1095,True,100.0,100.0,0,1811,1589,"(130.81,4.31);(74.26,12.23);(46.73,32.31);(100.34,418.06);(112.32,452.12);(238.93,520.48);(214.16,446.78);(94.83,136.01);(115.25,31.27);(58.27,46.26);(10.55,8.00);(241.87,215.70);(227.47,120.25);(239.54,66.60)"
2026-02-06T19:14:35.496708,multipleTargets,14,1240,False,94.12,93.75,1,1753,1414,"(93.40,7.99);(4.60,65.06);(150.73,10.80);(291.47,12.10);(236.10,133.03);(238.27,93.11);(62.39,166.52);(22.91,58.88);(177.89,15.30);(300.41,58.84);(61.14,66.74);(72.94,319.05);(219.99,615.66);(196.13,591.90);(267.54,384.44)"
