PlayerID,Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
Player_2,2026-02-04T14:12:49.881941,singleTarget,1,10,true,100.00,100.00,0,1319,0,"(138.23,114.98)"
Player_2,2026-02-04T14:13:02.212202,singleTarget,2,20,true,100.00,100.00,0,1351,0,"(262.49,427.49)"
Player_2,2026-02-04T14:13:21.008487,singleTarget,3,30,true,100.00,100.00,0,2085,0,"(82.29,337.00)"
Player_2,2026-02-04T14:13:31.812880,singleTarget,4,40,true,100.00,100.00,0,2077,0,"(223.35,91.60)"
Player_2,2026-02-04T14:13:46.664423,singleTarget,5,50,true,100.00,100.00,0,2878,0,"(277.98,458.78)"
Player_2,2026-02-04T14:14:00.589324,singleTarget,6,60,true,100.00,100.00,0,4080,0,"(276.71,473.83)"
Player_2,2026-02-04T14:14:09.016790,singleTarget,7,70,true,100.00,100.00,0,1769,0,"(289.40,186.21)"
Player_2,2026-02-04T14:14:18.510863,singleTarget,8,80,true,100.00,100.00,0,1226,0,"(48.64,147.75)"
Player_2,2026-02-04T14:14:26.303353,singleTarget,9,90,true,100.00,100.00,0,1284,0,"(73.89,247.32)"
Player_2,2026-02-04T14:14:35.741010,singleTarget,10,100,true,100.00,100.00,0,3897,0,"(280.22,219.71)"
Player_2,2026-02-04T14:14:46.978678,singleTarget,11,110,true,100.00,100.00,0,3604,0,"(129.55,483.75)"
Player_2,2026-02-04T14:14:56.973214,singleTarget,12,120,true,100.00,100.00,0,4355,0,"(125.03,468.69)"
Player_2,2026-02-04T14:15:08.302364,singleTarget,13,130,true,100.00,100.00,0,3612,0,"(207.09,105.58)"
Player_2,2026-02-04T14:15:25.439385,singleTarget,14,140,true,100.00,100.00,0,10779,0,"(159.43,98.03)"
Player_2,2026-02-04T14:15:38.262752,singleTarget,15,150,true,100.00,100.00,0,1651,0,"(142.22,226.85)"
